course_name,login_count,active_days,login_frequency,login_consistency,course_access_count,module_completion_rate,page_view_count,class_exercise_submissions,class_exercises_attempted,total_practice,exercises_attempted,quiz_attempt_count,quiz_completion_rate,quiz_average_score,quiz_view_count,mock_exam_score,portal_based_exam_score,model_exam_score,pba_score,cia_score,end_semester_score,in_between_assessment_grade,pba_assessment_score,average_access_hour,study_session_count,time_spent_on_course_minutes,study_frequency_per_week,week_1_6_engagement,week_1_9_engagement,week_1_12_engagement,week_1_16_engagement,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,completed_modules,study_interval_regularity
Course 1,124,72,1.72,0.31,193,100.0,6,18,11,323,160,4,100.0,34.75,203,0.0,0.0,0.0,0.0,22.0,108.0,10.33,0.0,13.24,22,4828.0,10,832,2045,3229,3229,0,61,95,0,283,393,813,399,1,827,357,0,0,0,0,0,2,0.761
Course 1,140,70,2.0,0.32,128,100.0,35,28,11,583,160,4,100.0,37.75,176,10.0,0.0,0.0,0.0,27.0,105.0,13.67,0.0,11.71,36,9445.0,10,3158,3851,5118,5118,0,73,509,315,980,1281,521,141,31,609,658,0,0,0,0,0,2,0.845
Course 1,53,34,1.56,0.2,20,100.0,0,18,11,239,160,4,100.0,26.0,93,0.0,0.0,0.0,0.0,10.0,90.0,4.67,0.0,12.44,10,967.0,6,488,512,1670,1740,0,0,0,0,346,142,0,24,0,311,847,0,70,0,0,0,2,0.621
Course 1,58,40,1.45,0.22,49,100.0,4,14,11,195,160,4,100.0,35.75,80,0.0,0.0,0.0,0.0,21.0,110.0,11.0,0.0,11.25,11,1684.0,6,605,608,1807,1807,0,0,0,8,455,142,0,3,0,66,1133,0,0,0,0,0,2,0.658
Course 1,54,40,1.35,0.22,17,100.0,0,11,11,199,160,4,100.0,39.75,146,0.0,0.0,0.0,0.0,29.0,114.0,15.0,0.0,11.54,9,1554.0,7,737,904,1701,1701,0,0,1,0,450,286,0,167,0,170,627,0,0,0,0,0,2,0.632
Course 1,88,59,1.49,0.27,32,100.0,20,22,11,324,160,4,100.0,44.25,100,20.0,0.0,0.0,0.0,25.0,110.0,19.0,0.0,8.71,19,3931.0,9,947,1526,2259,2611,0,29,0,113,446,359,195,384,0,474,259,0,352,0,0,0,2,0.664
Course 1,42,28,1.5,0.15,31,100.0,8,24,11,303,160,4,100.0,25.25,81,0.0,0.0,0.0,0.0,6.0,90.0,3.67,0.0,10.84,11,1809.0,8,791,800,1609,2467,0,6,0,0,677,108,1,8,0,49,760,0,858,0,0,0,2,0.624
Course 1,129,65,1.98,0.32,90,100.0,66,31,11,382,160,4,100.0,39.0,168,10.0,0.0,0.0,0.0,27.0,110.0,13.67,0.0,8.54,22,7062.0,7,1094,1112,4670,4700,0,0,32,0,554,508,0,18,0,538,3020,0,30,0,0,0,2,0.734
Course 1,132,70,1.89,0.3,53,100.0,63,19,11,329,160,4,100.0,47.75,115,8.0,0.0,0.0,0.0,41.0,129.0,19.33,0.0,9.22,20,6814.0,8,1772,2016,3553,3553,0,65,105,113,640,849,0,0,244,119,1414,4,0,0,0,0,2,0.724
Course 1,154,92,1.67,0.39,72,100.0,46,24,11,361,160,4,100.0,45.5,110,16.0,0.0,0.0,0.0,33.0,108.0,22.0,0.0,9.71,30,7625.0,10,1868,2467,4548,4548,0,102,362,92,354,958,377,215,7,1190,889,2,0,0,0,0,2,0.824
Course 1,131,78,1.68,0.33,31,100.0,14,11,11,263,160,4,100.0,42.75,125,16.0,0.0,0.0,0.0,33.0,107.0,18.67,0.0,10.14,16,3371.0,8,1062,1330,2219,2219,0,84,263,23,461,231,268,0,0,687,202,0,0,0,0,0,2,0.671
