,count,mean,std,min,25%,50%,75%,max,skewness
login_count,2285.0,138.49409190371992,75.48050156542239,10.0,84.0,125.0,176.0,612.0,1.4047953033575329
active_days,2285.0,64.91028446389497,26.882573736826103,5.0,43.0,63.0,85.0,155.0,0.22707562202908735
login_frequency,2285.0,2.091356673960613,0.4549633817902474,1.19,1.79,2.02,2.32,5.67,1.3966871315788576
login_consistency,2285.0,0.29288840262582055,0.10477675488241994,0.03,0.21,0.29,0.37,0.65,0.18186318268857518
course_access_count,2285.0,76.45164113785557,56.838049596530944,3.0,40.0,63.0,95.0,491.0,2.1417082398682066
module_completion_rate,2285.0,68.10487089715537,46.47472788986885,0.0,0.0,100.0,100.0,100.0,-0.7825059948790167
page_view_count,2285.0,36.3382932166302,47.49288590538079,0.0,5.0,16.0,53.0,622.0,2.7006687817410038
class_exercise_submissions,2285.0,11.200437636761489,11.694112899913394,0.0,0.0,9.0,17.0,106.0,1.7097580417462248
class_exercises_attempted,2285.0,6.082713347921225,4.900023552306012,0.0,0.0,5.0,11.0,13.0,0.054424608264129704
total_practice,2285.0,289.30634573304155,185.47560103839714,0.0,162.0,270.0,381.0,1463.0,1.088313466459416
exercises_attempted,2285.0,138.37067833698032,60.42579155644277,0.0,84.0,162.0,173.0,297.0,-0.7607758647324245
quiz_attempt_count,2285.0,3.5347921225382932,1.6219385854801245,1.0,2.0,4.0,5.0,8.0,-0.4277933575107078
quiz_completion_rate,2285.0,15.448577680525164,36.14928916004396,0.0,0.0,0.0,0.0,100.0,1.9132708587807148
quiz_average_score,2285.0,35.55847702407002,11.375587614006676,3.0,27.33,33.75,44.0,71.5,0.3335109430601561
quiz_view_count,2285.0,125.57899343544858,77.84955345788657,9.0,69.0,114.0,159.0,801.0,1.6376713066898057
study_session_count,2285.0,26.03894967177243,12.048855841633873,1.0,18.0,25.0,33.0,85.0,0.589282104328079
time_spent_on_course_minutes,2285.0,4235.987308533917,3580.468858206271,44.0,1845.0,3343.0,5545.0,32057.0,2.160961089920779
study_frequency_per_week,2285.0,9.915098468271335,2.6321075158465246,1.0,9.0,10.0,12.0,16.0,-0.6699451249270654
completed_modules,2285.0,10.908533916849015,22.25611039484331,0.0,0.0,0.0,5.0,140.0,2.2553280599946555
study_interval_regularity,2285.0,0.7017199124726476,0.12227366012949577,0.145,0.647,0.733,0.785,1.0,-1.3946511561658717
